COMBINED_TRACT,COMBINED_BLOCK,pop18_44,pop45_64,pop65plus,pop_total,PSU_MOS_composite,PSU_prob,SSU_MOS_composite,SSU_prob
24033802203,240338022033,381,375,316,1072,5.409320104,0.147526912,1.649868808,0.305004839
24033802204,240338022041,605,483,375,1463,7.180161109,0.195822576,2.171141523,0.302380614
24033802204,240338022042,400,340,269,1009,7.180161109,0.195822576,1.51270894,0.210678969
24033802204,240338022043,575,516,318,1409,7.180161109,0.195822576,2.051378645,0.285700921
24033802204,240338022044,506,381,168,1055,7.180161109,0.195822576,1.444932001,0.201239496
24033802301,240338023011,490,407,277,1174,4.357179241,0.118832161,1.717631796,0.394207284
24033802301,240338023012,401,296,278,975,4.357179241,0.118832161,1.47490039,0.338498902
24033802301,240338023013,364,299,160,823,4.357179241,0.118832161,1.164647056,0.267293814
24033802404,240338024041,516,203,65,784,4.517125907,0.123194343,0.973105103,0.215425721
24033802404,240338024042,395,250,101,746,4.517125907,0.123194343,0.99313415,0.219859745
24033802404,240338024043,950,621,301,1872,4.517125907,0.123194343,2.550886654,0.564714534
24033802405,240338024051,662,571,410,1643,4.415581781,0.120424958,2.432733424,0.550942898
24033802405,240338024052,784,473,219,1476,4.415581781,0.120424958,1.982848357,0.449057102
24033802406,240338024061,486,292,226,1004,2.566918816,0.070006877,1.438002546,0.560205698
24033802406,240338024062,481,283,101,865,2.566918816,0.070006877,1.128916269,0.439794302
24033802407,240338024071,637,445,257,1339,4.116013775,0.112254921,1.878034284,0.456275024
24033802407,240338024072,772,627,244,1643,4.116013775,0.112254921,2.237979491,0.543724976
24033802408,240338024081,594,442,328,1364,2.749802089,0.074994602,1.994113819,0.725184487
24033802408,240338024082,302,194,74,570,2.749802089,0.074994602,0.75568827,0.274815513
24033802501,240338025011,614,442,227,1283,3.560801527,0.097112769,1.779671559,0.499795213
24033802501,240338025012,638,433,222,1293,3.560801527,0.097112769,1.781129968,0.500204787
24033802502,240338025021,343,253,154,750,2.572481386,0.070158583,1.06588004,0.414339262
24033802502,240338025022,486,363,214,1063,2.572481386,0.070158583,1.506601346,0.585660738
24033802600,240338026001,679,454,244,1377,3.513328771,0.095818057,1.904343418,0.542033935
24033802600,240338026002,577,407,191,1175,3.513328771,0.095818057,1.608985354,0.457966065
24033802700,240338027001,346,247,112,705,2.975872042,0.081160147,0.962924548,0.323577269
24033802700,240338027002,307,228,198,733,2.975872042,0.081160147,1.096452083,0.368447322
24033802700,240338027003,328,244,102,674,2.975872042,0.081160147,0.916495411,0.30797541
24033802803,240338028031,889,586,224,1699,6.336893959,0.172824381,2.259204933,0.356516134
24033802803,240338028032,843,615,271,1729,6.336893959,0.172824381,2.359667509,0.372369733
24033802803,240338028033,579,321,287,1187,6.336893959,0.172824381,1.718021517,0.271114134
24033802804,240338028041,478,319,300,1097,6.258507365,0.170686564,1.638881162,0.261864542
24033802804,240338028042,734,457,236,1427,6.258507365,0.170686564,1.94789151,0.31123899
24033802804,240338028043,787,617,429,1833,6.258507365,0.170686564,2.671734693,0.426896469
24033802805,240338028051,537,334,231,1102,5.655426049,0.154238892,1.56070093,0.275965226
24033802805,240338028052,547,292,190,1029,5.655426049,0.154238892,1.418501435,0.250821321
24033802805,240338028053,801,642,410,1853,5.655426049,0.154238892,2.676223684,0.473213452
24033802901,240338029011,587,328,202,1117,4.393958429,0.11983523,1.537739364,0.349966753
24033802901,240338029012,410,326,190,926,4.393958429,0.11983523,1.319966885,0.300404955
24033802901,240338029013,510,313,245,1068,4.393958429,0.11983523,1.53625218,0.349628292
24033803001,240338030011,576,402,229,1207,3.320336031,0.090554619,1.68976027,0.508912428
24033803001,240338030012,504,411,231,1146,3.320336031,0.090554619,1.630575761,0.491087572
24033803002,240338030021,576,455,227,1258,3.034346907,0.082754916,1.757196542,0.579102059
24033803002,240338030022,423,293,185,901,3.034346907,0.082754916,1.277150365,0.420897941
24033803100,240338031001,408,270,178,856,2.892824215,0.078895206,1.213681172,0.419548884
24033803100,240338031002,625,447,176,1248,2.892824215,0.078895206,1.679143043,0.580451116
24033803200,240338032001,722,375,182,1279,2.91186899,0.079414609,1.69770328,0.58302873
24033803200,240338032002,567,296,91,954,2.91186899,0.079414609,1.214165711,0.41697127
24033803300,240338033001,576,333,184,1093,5.110419734,0.139375084,1.490931623,0.291743477
24033803300,240338033002,568,330,165,1063,5.110419734,0.139375084,1.434078758,0.280618586
24033803300,240338033003,321,230,102,653,5.110419734,0.139375084,0.890051874,0.174164143
